FORMULA	FIXEDMASS
C4HF7O5S	293.9432917
C6ClF9O	293.9493963
C5H2F8O3S	293.9596907
C6F10O2	293.9738614
C6F10O2	293.9738614
C5H5F7O4S	293.9796772
C6H3F9O3	293.9938479
C6H3F9O3	293.9938479
C10H6ClF7	294.0046254
C9H5F7O3	294.0126916
C8H5F7N2O2	294.0239249
C7H7F9O2	294.0302334
C10H9F7O2	294.0490771
C10H9F7O2	294.0490771
C6F11N	294.9855094
C6H3F10NO	295.0054959
C7H4F7N3O2	295.0191739
C10H12F7NO	295.0807115
C10H12F7NO	295.0807115
C3F7I	295.8932955
C3F7I	295.8932955
C5HClF8O3	295.9486473
C5HClF8O3	295.9486473
C6H2ClF9O	295.9650463
C5HF9O4	295.9731125
C5HF9O4	295.9731125
C7H3F7N2OS	295.9854313
C7H3F7N2OS	295.9854313
C6H2F10O2	295.9895115
C6H2F10O2	295.9895115
C6H2F10O2	295.9895115
C7H3F11	296.0059105
C7H3F11	296.0059105
C8H9F5O4S	296.0141709
C10H5F9	296.0247541
C7H6F10O	296.025897
C13H7F7	296.0435978
C9H10F6O4	296.0483281
C10H11F7O2	296.0647271
C10H11F7O2	296.0647271
C9H11F7N2O	296.0759605
C10H19F5NOS	296.1102027
C12H19F7	296.1374981
C8H3ClF7NO	296.9791389
C12H6F7N	297.0388467
C12H6F7N	297.0388467
C12H6F7N	297.0388467
C9H10F7NO2	297.0599761
C10H14F7NO	297.0963616
C4BrF9	297.9039661
C4H2F8O4S	297.9546053
C5H3F9O2S	297.9710043
C6HF11O	297.9851751
C6HF11O	297.9851751
C6H4F10O2	298.0051616
C7H5F11	298.0215606
C12H5F7O	298.0228623
C12H5F7O	298.0228623
C9H9F7O3	298.0439917
C9H9F7O3	298.0439917
C8H15F5N2O2S	298.0774398
C10H13F7O2	298.0803772
C9H13F7N2O	298.0916106
C4H2F9NO2S	298.9662533
C5F11NO	298.980424
C6H4F11N	299.0168095
C8H8F7NOS	299.0214824
C7H10F5NO4S	299.0250699
C8H8F7NO3	299.0392407
C8H8F7NO3	299.0392407
C8H8F7NO3	299.0392407
C12H8F7N	299.0544968
C8H16F5N2O2S	299.0847163
C12H22F3N2O3	299.1577036
C4HF9O3S	299.9502689
C4HF9O3S	299.9502689
C4HF9O3S	299.9502689
C4H2F9O3P	299.9597845
C6F12	299.9808386
C6F12	299.9808386
C6F12	299.9808386
C6F12	299.9808386
C6F12	299.9808386
C6F12	299.9808386
C6F12	299.9808386
C6F12	299.9808386
C6F12	299.9808386
C6F12	299.9808386
C6H3F11O	300.0008251
C6H3F11O	300.0008251
C6H3F11O	300.0008251
C8H7F7O4	300.0232562
C8H7F7O4	300.0232562
C8H7F7O4	300.0232562
C12H7F7O	300.0385124
C9H8F8O2	300.0396553
C10H15F7O2	300.0960273
C7H6F7NO4	301.0185052
C11H6F7NO	301.0337614
